DATE,Value
01-01-2004,113.7226
02-01-2004,106.159
03-01-2004,95.4029
04-01-2004,86.7233
05-01-2004,89.0302
06-01-2004,95.5045
07-01-2004,101.7948
08-01-2004,100.2025
09-01-2004,94.024
10-01-2004,87.5262
11-01-2004,89.6144
12-01-2004,105.7263
01-01-2005,111.1614
02-01-2005,101.7795
03-01-2005,98.9565
04-01-2005,86.4776
05-01-2005,87.2234
06-01-2005,99.5076
07-01-2005,108.3501
08-01-2005,109.4862
09-01-2005,99.1155
10-01-2005,89.7567
11-01-2005,90.4587
12-01-2005,108.2257
01-01-2006,104.4724
02-01-2006,101.5196
03-01-2006,98.4017
04-01-2006,87.5093
05-01-2006,90.0222
06-01-2006,100.5244
07-01-2006,110.9503
08-01-2006,111.5192
09-01-2006,95.7632
10-01-2006,90.3738
11-01-2006,92.3566
12-01-2006,103.066
01-01-2007,112.0576
02-01-2007,111.8399
03-01-2007,99.1925
04-01-2007,90.8177
05-01-2007,92.0587
06-01-2007,100.9676
07-01-2007,107.5686
08-01-2007,114.1036
09-01-2007,101.5316
10-01-2007,93.0068
11-01-2007,93.9126
12-01-2007,106.7528
01-01-2008,114.8331
02-01-2008,108.2353
03-01-2008,100.4386
04-01-2008,90.9944
05-01-2008,91.2348
06-01-2008,103.9581
07-01-2008,110.7631
08-01-2008,107.5665
09-01-2008,97.7183
10-01-2008,90.9979
11-01-2008,93.8057
12-01-2008,109.4221
01-01-2009,116.8316
02-01-2009,104.4202
03-01-2009,97.8529
04-01-2009,88.1973
05-01-2009,87.5366
06-01-2009,97.2387
07-01-2009,103.9086
08-01-2009,105.7486
09-01-2009,94.8823
10-01-2009,89.2977
11-01-2009,89.3585
12-01-2009,110.6844
01-01-2010,119.0166
02-01-2010,110.533
03-01-2010,98.2672
04-01-2010,86.3
05-01-2010,90.8364
06-01-2010,104.3538
07-01-2010,112.8066
08-01-2010,112.9014
09-01-2010,100.1209
10-01-2010,88.9251
11-01-2010,92.775
12-01-2010,114.3266
01-01-2011,119.488
02-01-2011,107.3753
03-01-2011,99.1028
04-01-2011,89.3583
05-01-2011,90.0698
06-01-2011,102.8204
07-01-2011,114.7068
08-01-2011,113.5958
09-01-2011,99.4712
10-01-2011,90.3566
11-01-2011,93.8095
12-01-2011,107.3312
01-01-2012,111.9646
02-01-2012,103.3679
03-01-2012,93.5772
04-01-2012,87.5566
05-01-2012,92.7603
06-01-2012,101.14
07-01-2012,113.0357
08-01-2012,109.8601
09-01-2012,96.7431
10-01-2012,90.3805
11-01-2012,94.3417
12-01-2012,105.2722
01-01-2013,115.501
02-01-2013,106.734
03-01-2013,102.9948
04-01-2013,91.0092
05-01-2013,90.9634
06-01-2013,100.6957
07-01-2013,110.148
08-01-2013,108.1756
09-01-2013,99.2809
10-01-2013,91.7871
11-01-2013,97.2853
12-01-2013,113.4732
01-01-2014,124.2549
02-01-2014,112.8811
03-01-2014,104.7631
04-01-2014,90.2867
05-01-2014,92.134
06-01-2014,101.878
07-01-2014,108.5497
08-01-2014,108.194
09-01-2014,100.4172
10-01-2014,92.3837
11-01-2014,99.7033
12-01-2014,109.3477
01-01-2015,120.2696
02-01-2015,116.3788
03-01-2015,104.4706
04-01-2015,89.7461
05-01-2015,91.093
06-01-2015,102.6495
07-01-2015,111.6354
08-01-2015,110.5925
09-01-2015,101.9204
10-01-2015,91.5959
11-01-2015,93.0628
12-01-2015,103.2203
01-01-2016,117.0837
02-01-2016,106.6688
03-01-2016,95.3548
04-01-2016,89.3254
05-01-2016,90.7369
06-01-2016,104.0375
07-01-2016,114.5397
08-01-2016,115.5159
09-01-2016,102.7637
10-01-2016,91.4867
11-01-2016,92.89
12-01-2016,112.7694
01-01-2017,114.8505
02-01-2017,99.4901
03-01-2017,101.0396
04-01-2017,88.353
05-01-2017,92.0805
06-01-2017,102.1532
07-01-2017,112.1538
08-01-2017,108.9312
09-01-2017,98.6154
10-01-2017,93.6137
11-01-2017,97.3359
12-01-2017,114.7212
01-01-2018,129.4048
