date,area,average_price,code,houses_sold,no_of_crimes,borough_flag
2000-03-01,city of london,178339,E09000001,48,,1
2000-04-01,city of london,183101,E09000001,58,,1
2000-05-01,city of london,175041,E09000001,38,,1
2000-06-01,city of london,198191,E09000001,60,,1
2000-07-01,city of london,214852,E09000001,33,,1
2000-08-01,city of london,221952,E09000001,22,,1
2000-09-01,city of london,223175,E09000001,20,,1
2000-10-01,city of london,245062,E09000001,19,,1
2000-11-01,city of london,321773,E09000001,18,,1
2000-12-01,city of london,314772,E09000001,33,,1
2001-01-01,city of london,284262,E09000001,24,0.0,1
2001-02-01,city of london,198137,E09000001,37,0.0,1
2001-03-01,city of london,189033,E09000001,44,0.0,1
2001-04-01,city of london,205494,E09000001,38,0.0,1
2001-05-01,city of london,223459,E09000001,30,0.0,1
2001-06-01,city of london,242435,E09000001,36,0.0,1
2001-07-01,city of london,230700,E09000001,40,0.0,1
2001-08-01,city of london,231632,E09000001,30,0.0,1
2001-09-01,city of london,229806,E09000001,30,0.0,1
2001-10-01,city of london,263887,E09000001,26,0.0,1
2001-11-01,city of london,346458,E09000001,15,0.0,1
2001-12-01,city of london,362204,E09000001,17,0.0,1
2002-01-01,city of london,344239,E09000001,30,0.0,1
2002-02-01,city of london,284015,E09000001,12,0.0,1
2002-03-01,city of london,253697,E09000001,47,0.0,1
2002-04-01,city of london,245313,E09000001,31,0.0,1
2002-05-01,city of london,227281,E09000001,30,0.0,1
2002-06-01,city of london,253130,E09000001,25,0.0,1
2002-07-01,city of london,262428,E09000001,26,0.0,1
2002-08-01,city of london,274016,E09000001,51,0.0,1
2002-09-01,city of london,277047,E09000001,49,0.0,1
2002-10-01,city of london,271941,E09000001,19,0.0,1
2002-11-01,city of london,280283,E09000001,28,0.0,1
2002-12-01,city of london,262197,E09000001,44,0.0,1
2003-01-01,city of london,261645,E09000001,32,0.0,1
2003-02-01,city of london,263992,E09000001,20,0.0,1
2003-03-01,city of london,291969,E09000001,31,0.0,1
2003-04-01,city of london,295174,E09000001,30,0.0,1
2003-05-01,city of london,284860,E09000001,38,0.0,1
2003-06-01,city of london,267208,E09000001,84,0.0,1
2003-07-01,city of london,260204,E09000001,48,0.0,1
2003-08-01,city of london,245449,E09000001,46,0.0,1
2003-09-01,city of london,243184,E09000001,38,0.0,1
2003-10-01,city of london,252980,E09000001,33,0.0,1
2003-11-01,city of london,277515,E09000001,42,0.0,1
2003-12-01,city of london,305556,E09000001,38,0.0,1
2004-01-01,city of london,326913,E09000001,98,0.0,1
2004-02-01,city of london,301092,E09000001,16,0.0,1
2004-03-01,city of london,272731,E09000001,20,0.0,1
2004-04-01,city of london,269514,E09000001,25,0.0,1
2004-05-01,city of london,280062,E09000001,22,0.0,1
2004-06-01,city of london,297421,E09000001,38,0.0,1
2004-07-01,city of london,298293,E09000001,34,0.0,1
2004-08-01,city of london,307094,E09000001,46,0.0,1
2004-09-01,city of london,305126,E09000001,27,0.0,1
2004-10-01,city of london,289912,E09000001,24,0.0,1
2004-11-01,city of london,333075,E09000001,13,0.0,1
2004-12-01,city of london,331161,E09000001,14,0.0,1
2005-01-01,city of london,330363,E09000001,17,0.0,1
2005-02-01,city of london,288867,E09000001,18,0.0,1
2005-03-01,city of london,304851,E09000001,18,0.0,1
2005-04-01,city of london,317398,E09000001,32,0.0,1
2005-05-01,city of london,311442,E09000001,20,0.0,1
2005-06-01,city of london,282866,E09000001,33,0.0,1
2005-07-01,city of london,283641,E09000001,29,0.0,1
2005-08-01,city of london,305351,E09000001,26,0.0,1
2005-09-01,city of london,310906,E09000001,37,0.0,1
2005-10-01,city of london,338837,E09000001,14,0.0,1
2005-11-01,city of london,327256,E09000001,29,0.0,1
2005-12-01,city of london,339626,E09000001,30,0.0,1
2006-01-01,city of london,316121,E09000001,19,0.0,1
2006-02-01,city of london,323653,E09000001,17,0.0,1
2006-03-01,city of london,325106,E09000001,28,0.0,1
2006-04-01,city of london,319580,E09000001,24,0.0,1
2006-05-01,city of london,313126,E09000001,22,0.0,1
2006-06-01,city of london,304977,E09000001,29,0.0,1
2006-07-01,city of london,338307,E09000001,25,0.0,1
2006-08-01,city of london,358438,E09000001,30,0.0,1
2006-09-01,city of london,377545,E09000001,24,0.0,1
2006-10-01,city of london,365177,E09000001,33,0.0,1
2006-11-01,city of london,354438,E09000001,21,0.0,1
2006-12-01,city of london,365755,E09000001,22,0.0,1
2007-01-01,city of london,360923,E09000001,20,0.0,1
2007-02-01,city of london,399437,E09000001,25,7.0,1
2007-03-01,city of london,403144,E09000001,28,7.0,1
2007-04-01,city of london,419005,E09000001,22,7.0,1
2007-05-01,city of london,411183,E09000001,22,5.0,1
2007-06-01,city of london,436079,E09000001,19,10.0,1
2007-07-01,city of london,467348,E09000001,32,3.0,1
2007-08-01,city of london,473887,E09000001,27,8.0,1
2007-09-01,city of london,463525,E09000001,23,0.0,1
2007-10-01,city of london,456422,E09000001,19,0.0,1
2007-11-01,city of london,450831,E09000001,22,0.0,1
2007-12-01,city of london,464277,E09000001,11,0.0,1
2008-01-01,city of london,471861,E09000001,16,0.0,1
2008-02-01,city of london,453707,E09000001,33,0.0,1
2008-03-01,city of london,404849,E09000001,6,0.0,1
2008-04-01,city of london,382571,E09000001,5,0.0,1
2008-05-01,city of london,389733,E09000001,29,0.0,1
2008-06-01,city of london,420665,E09000001,9,0.0,1
2008-07-01,city of london,442352,E09000001,11,0.0,1
2008-08-01,city of london,472397,E09000001,8,0.0,1
2008-09-01,city of london,466082,E09000001,6,0.0,1
2008-10-01,city of london,440012,E09000001,9,0.0,1
2008-11-01,city of london,396155,E09000001,2,0.0,1
2008-12-01,city of london,387178,E09000001,6,0.0,1
2009-01-01,city of london,400317,E09000001,5,0.0,1
2009-02-01,city of london,393361,E09000001,6,0.0,1
2009-03-01,city of london,399220,E09000001,8,0.0,1
2009-04-01,city of london,345338,E09000001,9,0.0,1
2009-05-01,city of london,373504,E09000001,6,0.0,1
2009-06-01,city of london,348751,E09000001,18,0.0,1
2009-07-01,city of london,379109,E09000001,20,0.0,1
2009-08-01,city of london,360545,E09000001,20,0.0,1
2009-09-01,city of london,391138,E09000001,19,0.0,1
2009-10-01,city of london,399867,E09000001,19,0.0,1
2009-11-01,city of london,397909,E09000001,11,0.0,1
2009-12-01,city of london,411955,E09000001,16,0.0,1
2010-01-01,city of london,464436,E09000001,20,0.0,1
2010-02-01,city of london,490525,E09000001,9,0.0,1
2010-03-01,city of london,498241,E09000001,15,0.0,1
2010-04-01,city of london,458246,E09000001,22,,1
2010-05-01,city of london,454928,E09000001,21,,1
2010-06-01,city of london,428120,E09000001,29,,1
2010-07-01,city of london,420234,E09000001,24,,1
2010-08-01,city of london,442597,E09000001,21,,1
2010-09-01,city of london,455290,E09000001,20,,1
2010-10-01,city of london,456016,E09000001,12,,1
2010-11-01,city of london,430305,E09000001,12,,1
2010-12-01,city of london,445016,E09000001,31,,1
2011-01-01,city of london,442413,E09000001,16,,1
2011-02-01,city of london,504009,E09000001,12,,1
2011-03-01,city of london,475353,E09000001,19,,1
2011-04-01,city of london,516319,E09000001,21,,1
2011-05-01,city of london,459477,E09000001,28,,1
2011-06-01,city of london,466525,E09000001,22,,1
2011-07-01,city of london,420435,E09000001,19,,1
2011-08-01,city of london,421486,E09000001,27,,1
2011-09-01,city of london,436019,E09000001,25,,1
2011-10-01,city of london,450034,E09000001,21,,1
2011-11-01,city of london,478809,E09000001,21,,1
2011-12-01,city of london,496291,E09000001,24,,1
2012-01-01,city of london,525723,E09000001,11,,1
2012-02-01,city of london,510537,E09000001,17,,1
2012-03-01,city of london,527408,E09000001,9,,1
2012-04-01,city of london,524290,E09000001,12,,1
2012-05-01,city of london,573532,E09000001,12,,1
2012-06-01,city of london,542518,E09000001,21,,1
2012-07-01,city of london,543037,E09000001,16,,1
2012-08-01,city of london,496168,E09000001,17,,1
2012-09-01,city of london,525971,E09000001,15,,1
2012-10-01,city of london,521769,E09000001,17,,1
2012-11-01,city of london,521448,E09000001,22,,1
2012-12-01,city of london,491529,E09000001,28,,1
2013-01-01,city of london,465451,E09000001,16,,1
2013-02-01,city of london,499207,E09000001,20,,1
2013-03-01,city of london,527874,E09000001,18,,1
2013-04-01,city of london,590685,E09000001,13,,1
2013-05-01,city of london,578037,E09000001,31,,1
2013-06-01,city of london,662700,E09000001,11,,1
2013-07-01,city of london,651116,E09000001,29,,1
2013-08-01,city of london,645847,E09000001,94,,1
2013-09-01,city of london,529619,E09000001,104,,1
2013-10-01,city of london,527374,E09000001,54,,1
2013-11-01,city of london,546793,E09000001,22,,1
2013-12-01,city of london,615401,E09000001,21,,1
2014-01-01,city of london,625001,E09000001,26,,1
2014-02-01,city of london,648359,E09000001,17,,1
2014-03-01,city of london,654629,E09000001,36,,1
2014-04-01,city of london,665262,E09000001,19,,1
2014-05-01,city of london,682663,E09000001,22,,1
2014-06-01,city of london,697309,E09000001,21,,1
2014-07-01,city of london,724282,E09000001,15,,1
2014-08-01,city of london,761544,E09000001,27,,1
2014-09-01,city of london,753704,E09000001,18,,1
2014-10-01,city of london,763369,E09000001,12,,1
2014-11-01,city of london,762735,E09000001,39,,1
2014-12-01,city of london,773768,E09000001,71,,1
2015-01-01,city of london,783667,E09000001,37,,1
2015-02-01,city of london,760550,E09000001,39,,1
2015-03-01,city of london,767207,E09000001,35,,1
2015-04-01,city of london,729148,E09000001,21,,1
2015-05-01,city of london,762815,E09000001,24,,1
2015-06-01,city of london,776509,E09000001,19,,1
2015-07-01,city of london,779097,E09000001,17,,1
2015-08-01,city of london,760243,E09000001,18,,1
2015-09-01,city of london,767464,E09000001,35,,1
2015-10-01,city of london,781358,E09000001,21,,1
2015-11-01,city of london,741727,E09000001,11,,1
2015-12-01,city of london,713253,E09000001,31,,1
2016-01-01,city of london,736788,E09000001,15,,1
2016-02-01,city of london,765644,E09000001,36,,1
2016-03-01,city of london,794754,E09000001,35,,1
2016-04-01,city of london,805320,E09000001,7,,1
2016-05-01,city of london,845579,E09000001,9,,1
2016-06-01,city of london,907965,E09000001,7,,1
2016-07-01,city of london,911827,E09000001,7,,1
2016-08-01,city of london,848269,E09000001,8,,1
2016-09-01,city of london,780527,E09000001,8,,1
2016-10-01,city of london,792664,E09000001,11,,1
2016-11-01,city of london,818663,E09000001,16,,1
2016-12-01,city of london,811786,E09000001,13,,1
2017-01-01,city of london,820305,E09000001,11,,1
2017-02-01,city of london,820665,E09000001,9,,1
2017-03-01,city of london,853943,E09000001,18,,1
2017-04-01,city of london,906146,E09000001,20,,1
2017-05-01,city of london,939912,E09000001,21,,1
2017-06-01,city of london,930979,E09000001,19,,1
2017-07-01,city of london,854798,E09000001,20,,1
2017-08-01,city of london,847422,E09000001,21,,1
2017-09-01,city of london,836674,E09000001,29,,1
2017-10-01,city of london,818477,E09000001,17,,1
2017-11-01,city of london,790159,E09000001,14,,1
2017-12-01,city of london,778002,E09000001,20,,1
2018-01-01,city of london,802129,E09000001,34,,1
2018-02-01,city of london,783266,E09000001,27,,1
2018-03-01,city of london,740799,E09000001,19,,1
2018-04-01,city of london,732351,E09000001,14,,1
2018-05-01,city of london,796399,E09000001,19,,1
2018-06-01,city of london,789278,E09000001,87,,1
2018-07-01,city of london,809697,E09000001,32,,1
2018-08-01,city of london,784144,E09000001,22,,1
2018-09-01,city of london,800875,E09000001,40,,1
2018-10-01,city of london,802869,E09000001,30,,1
2018-11-01,city of london,764207,E09000001,31,,1
2018-12-01,city of london,811694,E09000001,37,,1
2019-01-01,city of london,865636,E09000001,10,,1
2019-02-01,city of london,894680,E09000001,10,,1
2019-03-01,city of london,853616,E09000001,14,,1
2019-04-01,city of london,738842,E09000001,20,,1
2019-05-01,city of london,718773,E09000001,7,,1
2019-06-01,city of london,743157,E09000001,16,,1
2019-07-01,city of london,719871,E09000001,13,,1
2019-08-01,city of london,777613,E09000001,17,,1
2019-09-01,city of london,792034,E09000001,11,,1
2019-10-01,city of london,827093,E09000001,4,,1
2019-11-01,city of london,777610,E09000001,5,,1
2019-12-01,city of london,734872,E09000001,,,1
2020-01-01,city of london,775309,E09000001,,,1
1995-01-01,barking and dagenham,50460,E09000002,96,,1
1995-02-01,barking and dagenham,51086,E09000002,95,,1
1995-03-01,barking and dagenham,51269,E09000002,144,,1
1995-04-01,barking and dagenham,53134,E09000002,109,,1
1995-05-01,barking and dagenham,53042,E09000002,149,,1
1995-06-01,barking and dagenham,53700,E09000002,148,,1
1995-07-01,barking and dagenham,52113,E09000002,117,,1
1995-08-01,barking and dagenham,52232,E09000002,150,,1
1995-09-01,barking and dagenham,51472,E09000002,112,,1
1995-10-01,barking and dagenham,51514,E09000002,120,,1
1995-11-01,barking and dagenham,50849,E09000002,127,,1
1995-12-01,barking and dagenham,50945,E09000002,109,,1
1996-01-01,barking and dagenham,50828,E09000002,94,,1
1996-02-01,barking and dagenham,51441,E09000002,154,,1
1996-03-01,barking and dagenham,51907,E09000002,152,,1
1996-04-01,barking and dagenham,51724,E09000002,125,,1
1996-05-01,barking and dagenham,51736,E09000002,143,,1
1996-06-01,barking and dagenham,50761,E09000002,142,,1
1996-07-01,barking and dagenham,50621,E09000002,178,,1
1996-08-01,barking and dagenham,51105,E09000002,164,,1
1996-09-01,barking and dagenham,51893,E09000002,156,,1
1996-10-01,barking and dagenham,52533,E09000002,172,,1
1996-11-01,barking and dagenham,52216,E09000002,217,,1
1996-12-01,barking and dagenham,53854,E09000002,184,,1
1997-01-01,barking and dagenham,54459,E09000002,153,,1
1997-02-01,barking and dagenham,55451,E09000002,169,,1
1997-03-01,barking and dagenham,55005,E09000002,192,,1
1997-04-01,barking and dagenham,55280,E09000002,175,,1
1997-05-01,barking and dagenham,54937,E09000002,202,,1
1997-06-01,barking and dagenham,55287,E09000002,203,,1
1997-07-01,barking and dagenham,55659,E09000002,265,,1
1997-08-01,barking and dagenham,56507,E09000002,244,,1
1997-09-01,barking and dagenham,56306,E09000002,214,,1
1997-10-01,barking and dagenham,57200,E09000002,244,,1
1997-11-01,barking and dagenham,57575,E09000002,188,,1
1997-12-01,barking and dagenham,58025,E09000002,185,,1
1998-01-01,barking and dagenham,57559,E09000002,152,,1
1998-02-01,barking and dagenham,57360,E09000002,153,,1
1998-03-01,barking and dagenham,57908,E09000002,190,,1
1998-04-01,barking and dagenham,59196,E09000002,202,,1
1998-05-01,barking and dagenham,60356,E09000002,206,,1
1998-06-01,barking and dagenham,60583,E09000002,191,,1
1998-07-01,barking and dagenham,60412,E09000002,321,,1
1998-08-01,barking and dagenham,60837,E09000002,221,,1
1998-09-01,barking and dagenham,61485,E09000002,236,,1
1998-10-01,barking and dagenham,62005,E09000002,242,,1
1998-11-01,barking and dagenham,62240,E09000002,202,,1
1998-12-01,barking and dagenham,63488,E09000002,180,,1
1999-01-01,barking and dagenham,64532,E09000002,177,,1
1999-02-01,barking and dagenham,64166,E09000002,141,,1
1999-03-01,barking and dagenham,63528,E09000002,197,,1
1999-04-01,barking and dagenham,63580,E09000002,225,,1
1999-05-01,barking and dagenham,64508,E09000002,197,,1
1999-06-01,barking and dagenham,64704,E09000002,251,,1
1999-07-01,barking and dagenham,64921,E09000002,304,,1
1999-08-01,barking and dagenham,65385,E09000002,231,,1
1999-09-01,barking and dagenham,66003,E09000002,204,,1
1999-10-01,barking and dagenham,66367,E09000002,238,,1
1999-11-01,barking and dagenham,67344,E09000002,254,,1
1999-12-01,barking and dagenham,68812,E09000002,267,,1
2000-01-01,barking and dagenham,71079,E09000002,182,,1
2000-02-01,barking and dagenham,72633,E09000002,191,,1
2000-03-01,barking and dagenham,73624,E09000002,216,,1
2000-04-01,barking and dagenham,73800,E09000002,214,,1
2000-05-01,barking and dagenham,75126,E09000002,240,,1
2000-06-01,barking and dagenham,76939,E09000002,294,,1
2000-07-01,barking and dagenham,78869,E09000002,305,,1
2000-08-01,barking and dagenham,80150,E09000002,240,,1
2000-09-01,barking and dagenham,81761,E09000002,223,,1
2000-10-01,barking and dagenham,82501,E09000002,196,,1
2000-11-01,barking and dagenham,82386,E09000002,227,,1
2000-12-01,barking and dagenham,81726,E09000002,285,,1
2001-01-01,barking and dagenham,82343,E09000002,215,1771.0,1
2001-02-01,barking and dagenham,83266,E09000002,238,1600.0,1
2001-03-01,barking and dagenham,84058,E09000002,274,1759.0,1
2001-04-01,barking and dagenham,83965,E09000002,241,1643.0,1
2001-05-01,barking and dagenham,85124,E09000002,283,1809.0,1
2001-06-01,barking and dagenham,86732,E09000002,292,1835.0,1
2001-07-01,barking and dagenham,89194,E09000002,289,1774.0,1
2001-08-01,barking and dagenham,90462,E09000002,321,1828.0,1
2001-09-01,barking and dagenham,92610,E09000002,251,1692.0,1
2001-10-01,barking and dagenham,93584,E09000002,270,1743.0,1
2001-11-01,barking and dagenham,95918,E09000002,282,1601.0,1
2001-12-01,barking and dagenham,96712,E09000002,247,1421.0,1
2002-01-01,barking and dagenham,98713,E09000002,216,1751.0,1
2002-02-01,barking and dagenham,100229,E09000002,198,1529.0,1
2002-03-01,barking and dagenham,101633,E09000002,261,1626.0,1
2002-04-01,barking and dagenham,103885,E09000002,285,1685.0,1
2002-05-01,barking and dagenham,105761,E09000002,335,1872.0,1
2002-06-01,barking and dagenham,108615,E09000002,307,1630.0,1
2002-07-01,barking and dagenham,111983,E09000002,347,1757.0,1
2002-08-01,barking and dagenham,115548,E09000002,350,1651.0,1
2002-09-01,barking and dagenham,118331,E09000002,268,1600.0,1
2002-10-01,barking and dagenham,122940,E09000002,312,1753.0,1
2002-11-01,barking and dagenham,127316,E09000002,300,1631.0,1
2002-12-01,barking and dagenham,131709,E09000002,270,1555.0,1
2003-01-01,barking and dagenham,134750,E09000002,254,1652.0,1
2003-02-01,barking and dagenham,138195,E09000002,219,1473.0,1
2003-03-01,barking and dagenham,142207,E09000002,247,1786.0,1
2003-04-01,barking and dagenham,142192,E09000002,254,1620.0,1
2003-05-01,barking and dagenham,142797,E09000002,248,1887.0,1
2003-06-01,barking and dagenham,141957,E09000002,325,1782.0,1
2003-07-01,barking and dagenham,142223,E09000002,329,1832.0,1
2003-08-01,barking and dagenham,142792,E09000002,339,1774.0,1
2003-09-01,barking and dagenham,141707,E09000002,361,1711.0,1
2003-10-01,barking and dagenham,145136,E09000002,347,2049.0,1
2003-11-01,barking and dagenham,146331,E09000002,318,1940.0,1
2003-12-01,barking and dagenham,149701,E09000002,374,1579.0,1
2004-01-01,barking and dagenham,150115,E09000002,321,1768.0,1
2004-02-01,barking and dagenham,152688,E09000002,297,1823.0,1
2004-03-01,barking and dagenham,153591,E09000002,368,1974.0,1
2004-04-01,barking and dagenham,154014,E09000002,302,1860.0,1
2004-05-01,barking and dagenham,154361,E09000002,322,1907.0,1
2004-06-01,barking and dagenham,156951,E09000002,351,1833.0,1
2004-07-01,barking and dagenham,159227,E09000002,330,1769.0,1
2004-08-01,barking and dagenham,160620,E09000002,316,1717.0,1
2004-09-01,barking and dagenham,162821,E09000002,292,1693.0,1
2004-10-01,barking and dagenham,164422,E09000002,254,1711.0,1
2004-11-01,barking and dagenham,165172,E09000002,255,1701.0,1
2004-12-01,barking and dagenham,164130,E09000002,208,1515.0,1
2005-01-01,barking and dagenham,164484,E09000002,183,1694.0,1
2005-02-01,barking and dagenham,162324,E09000002,168,1584.0,1
2005-03-01,barking and dagenham,161927,E09000002,213,1822.0,1
2005-04-01,barking and dagenham,162771,E09000002,191,1713.0,1
2005-05-01,barking and dagenham,164000,E09000002,223,1846.0,1
2005-06-01,barking and dagenham,165770,E09000002,275,1634.0,1
2005-07-01,barking and dagenham,162428,E09000002,303,1802.0,1
2005-08-01,barking and dagenham,164000,E09000002,279,1877.0,1
2005-09-01,barking and dagenham,163111,E09000002,263,1622.0,1
2005-10-01,barking and dagenham,164179,E09000002,262,1842.0,1
2005-11-01,barking and dagenham,162695,E09000002,267,1737.0,1
2005-12-01,barking and dagenham,162642,E09000002,263,1542.0,1
2006-01-01,barking and dagenham,162340,E09000002,208,2002.0,1
2006-02-01,barking and dagenham,163024,E09000002,256,1675.0,1
2006-03-01,barking and dagenham,162004,E09000002,295,1863.0,1
2006-04-01,barking and dagenham,164204,E09000002,253,1811.0,1
2006-05-01,barking and dagenham,166048,E09000002,262,1909.0,1
2006-06-01,barking and dagenham,169013,E09000002,341,1825.0,1
2006-07-01,barking and dagenham,170204,E09000002,352,1808.0,1
2006-08-01,barking and dagenham,171177,E09000002,345,1756.0,1
2006-09-01,barking and dagenham,170251,E09000002,314,1760.0,1
2006-10-01,barking and dagenham,170091,E09000002,334,1853.0,1
2006-11-01,barking and dagenham,171598,E09000002,366,1872.0,1
2006-12-01,barking and dagenham,174285,E09000002,328,1493.0,1
2007-01-01,barking and dagenham,176577,E09000002,257,1790.0,1
2007-02-01,barking and dagenham,177051,E09000002,285,1526.0,1
2007-03-01,barking and dagenham,179011,E09000002,337,1754.0,1
2007-04-01,barking and dagenham,179847,E09000002,284,1716.0,1
2007-05-01,barking and dagenham,181828,E09000002,325,1679.0,1
2007-06-01,barking and dagenham,183476,E09000002,435,1607.0,1
2007-07-01,barking and dagenham,185929,E09000002,372,1569.0,1
2007-08-01,barking and dagenham,187337,E09000002,389,1559.0,1
2007-09-01,barking and dagenham,190223,E09000002,305,1585.0,1
2007-10-01,barking and dagenham,191576,E09000002,404,1721.0,1
2007-11-01,barking and dagenham,193603,E09000002,325,1630.0,1
2007-12-01,barking and dagenham,192458,E09000002,267,1518.0,1
2008-01-01,barking and dagenham,194235,E09000002,215,1667.0,1
2008-02-01,barking and dagenham,193699,E09000002,228,1626.0,1
2008-03-01,barking and dagenham,196257,E09000002,198,1588.0,1
2008-04-01,barking and dagenham,192932,E09000002,200,1731.0,1
2008-05-01,barking and dagenham,193573,E09000002,145,1609.0,1
2008-06-01,barking and dagenham,190727,E09000002,151,1659.0,1
2008-07-01,barking and dagenham,191067,E09000002,110,1790.0,1
2008-08-01,barking and dagenham,189100,E09000002,107,1689.0,1
2008-09-01,barking and dagenham,184659,E09000002,85,1430.0,1
2008-10-01,barking and dagenham,177921,E09000002,85,1630.0,1
2008-11-01,barking and dagenham,174390,E09000002,75,1602.0,1
2008-12-01,barking and dagenham,169722,E09000002,89,1506.0,1
2009-01-01,barking and dagenham,166798,E09000002,48,1660.0,1
2009-02-01,barking and dagenham,161879,E09000002,51,1631.0,1
2009-03-01,barking and dagenham,156811,E09000002,54,1892.0,1
2009-04-01,barking and dagenham,152209,E09000002,63,1735.0,1
2009-05-01,barking and dagenham,148433,E09000002,67,1707.0,1
2009-06-01,barking and dagenham,150194,E09000002,88,1649.0,1
2009-07-01,barking and dagenham,154105,E09000002,110,1705.0,1
2009-08-01,barking and dagenham,156272,E09000002,120,1622.0,1
2009-09-01,barking and dagenham,155827,E09000002,171,1618.0,1
2009-10-01,barking and dagenham,156674,E09000002,145,1600.0,1
2009-11-01,barking and dagenham,157272,E09000002,158,1554.0,1
2009-12-01,barking and dagenham,160889,E09000002,187,1425.0,1
2010-01-01,barking and dagenham,162905,E09000002,73,1603.0,1
2010-02-01,barking and dagenham,163023,E09000002,105,1521.0,1
2010-03-01,barking and dagenham,162831,E09000002,134,1752.0,1
2010-04-01,barking and dagenham,162756,E09000002,123,1669.0,1
2010-05-01,barking and dagenham,164903,E09000002,124,1655.0,1
2010-06-01,barking and dagenham,167148,E09000002,146,1757.0,1
2010-07-01,barking and dagenham,168661,E09000002,156,1783.0,1
2010-08-01,barking and dagenham,170216,E09000002,124,1684.0,1
2010-09-01,barking and dagenham,170253,E09000002,113,1609.0,1
2010-10-01,barking and dagenham,170298,E09000002,116,1608.0,1
2010-11-01,barking and dagenham,169250,E09000002,118,1620.0,1
2010-12-01,barking and dagenham,166485,E09000002,121,1221.0,1
2011-01-01,barking and dagenham,163821,E09000002,92,1485.0,1
2011-02-01,barking and dagenham,162484,E09000002,94,1438.0,1
2011-03-01,barking and dagenham,161660,E09000002,136,1648.0,1
2011-04-01,barking and dagenham,162401,E09000002,117,1635.0,1
2011-05-01,barking and dagenham,162703,E09000002,109,1744.0,1
2011-06-01,barking and dagenham,162304,E09000002,135,1631.0,1
2011-07-01,barking and dagenham,160895,E09000002,127,1635.0,1
2011-08-01,barking and dagenham,163477,E09000002,127,1695.0,1
2011-09-01,barking and dagenham,166865,E09000002,145,1427.0,1
2011-10-01,barking and dagenham,167493,E09000002,141,1430.0,1
2011-11-01,barking and dagenham,164847,E09000002,124,1518.0,1
2011-12-01,barking and dagenham,162631,E09000002,111,1444.0,1
2012-01-01,barking and dagenham,163899,E09000002,81,1538.0,1
2012-02-01,barking and dagenham,163607,E09000002,122,1402.0,1
2012-03-01,barking and dagenham,164438,E09000002,162,1683.0,1
2012-04-01,barking and dagenham,164731,E09000002,68,1363.0,1
